,Data,Loja,Marca,Produto,Preço (R$)
103,2026-03-28,Kabum,Rise Mode,"Memória RAM Rise Mode Z, 16GB, 3200MHz, DDR4, CL19, Preto - RM-D4-16G-3200Z",799.99
104,2026-03-28,Kabum,Outra/Genérica,Memoria 8GB Ddr4 Dell Inspiron 20-3064 22 3280 22 3000 3264,806.55
105,2026-03-28,Kabum,Outra/Genérica,Memoria 8GB Ddr4 Para Dell Inspiron 5579 5580 5582 5583 5584,806.55
106,2026-03-28,Kabum,Outra/Genérica,Mem 8GB Ddr4 Para Dell Latitude 14 3410 3420 5410 5411 5421,806.55
107,2026-03-28,Terabyte,PCYes,"Memória DDR4 PCYes, RGB, 16GB, 3200MHz, Branco, PM163200D4WR",829.99
108,2026-03-28,Kabum,Redragon,Memoria 8GB Ddr4 3200mhz Redragon Rage Branco Gm-711,836.4
109,2026-03-28,Kabum,Outra/Genérica,Memoria 8GB Ddr4 Para Dell Vostro 3470 3267 3268 Small,854.05
110,2026-03-28,Kabum,Outra/Genérica,Mem 8GB Ddr4 Para Dell Optiplex 3046 3050 5050 7040 Tower Nf,854.05
111,2026-03-28,Kabum,Outra/Genérica,Memória Ram 16gb Ddr4 Ecc Proliant Ml110- Ml150 - Ml350 Gen9,859
112,2026-03-28,Kabum,Outra/Genérica,Memória Ram 16gb Ddr4 Ecc Dell Poweredge T430 - T440 - T630,859
113,2026-03-28,Kabum,Rise Mode,"Memória RAM Rise Mode Diamond 16GB, 3200MHz, DDR4, CL19, Branco - RM-D4-16G-3200DW",864.99
114,2026-03-28,Kabum,XPG,"Memória RAM XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-SWHD35G",898.99
115,2026-03-28,Kabum,Outra/Genérica,Memória Ram Para Lenovo Thinksystem 16gb Ddr4 2666mhz Ecc,899
116,2026-03-28,Kabum,Outra/Genérica,Memória Ram 16gb Ddr4 Ecc Hp Proliant Dl360 E Dl380 Gen9,899
117,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Spectrix D35G, RGB, 16GB, 3200MHz, White, AX4U320016G16A-SWHD35G",899.99
118,2026-03-28,Kabum,Kingston,"Memória RAM Kingston Fury Beast, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB1/16",899.99
119,2026-03-28,Kabum,Patriot,Memoria Ram Ddr4 16gb 2666mhz Cl19 Psd416g26662s Patriot,899.99
120,2026-03-28,Kabum,Kingston,"Memória RAM Kingston 16GB, 2666MHz, DDR4, CL19 - KVR26N19S8/16",907.57
121,2026-03-28,Kabum,Adata,"Memória Adata Ad4u320016g22-sgn 16GB, DDR4, 3200mhz",945.87
122,2026-03-28,Kabum,Hiksemi,Memória 16gb Ddr4 3200mhz Hiksemi Armor - Branca - Hsc416u32e2,977.23
123,2026-03-28,Kabum,XPG,"Memória RAM XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35G",984.99
124,2026-03-28,Kabum,Outra/Genérica,Memória Ram 16gb Ddr4 PC4 3200aa-r 25600 Dell Poweredge,989
125,2026-03-28,Kabum,Outra/Genérica,Memória Ram 16gb Ddr4 3200aa-r 25600 Registrada Hp Proliant,989
126,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion, 16GB, 3200MHz, Red, GAOR416GB3200C16BSC",989.9
127,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Spectrix D35G, RGB, 16GB, 3200MHz, Black, AX4U320016G16A-SBKD35G",989.99
128,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG GAMMIX D35, 16GB, 3200MHz, White, AX4U320016G16A-SWHD35",999.99
129,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion, 16GB, 3200MHz, Gray, GAOG416GB3200C22SC",999.99
130,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Spectrix D41, 16GB, 3200MHz, RGB, Gray, AX4U320016G16A-ST41",1009.99
131,2026-03-28,Kabum,Outra/Genérica,Memória Diamond Series 16GB 3200Mhz DDR4 - RM-D4-16G-3200DW,1033.11
132,2026-03-28,Kabum,Kingston,"Memoria 16GB, DDR4 Kingston 2666mhz - KVR26N19S8/16",1068.49
